budget,revenue,release_year,return
30000000,373554033.0,1995,12.4518011
65000000,262797249.0,1995,4.0430346
0,0.0,1995,0.0
16000000,81452156.0,1995,5.09075975
0,76578911.0,1995,0.0
60000000,187436818.0,1995,3.123946966666667
58000000,0.0,1995,0.0
0,0.0,1995,0.0
35000000,64350171.0,1995,1.8385763142857143
58000000,352194034.0,1995,6.072310931034483
62000000,107879496.0,1995,1.739991870967742
0,0.0,1995,0.0
0,11348324.0,1995,0.0
44000000,13681765.0,1995,0.31094920454545455
98000000,10017322.0,1995,0.10221757142857144
52000000,116112375.0,1995,2.2329302884615383
16500000,135000000.0,1995,8.181818181818182
4000000,4300000.0,1995,1.075
30000000,212385533.0,1995,7.079517766666667
60000000,35431113.0,1995,0.59051855
30250000,115101622.0,1995,3.805012297520661
0,0.0,1995,0.0
50000000,30303072.0,1995,0.60606144
0,0.0,1995,0.0
3600000,49800000.0,1995,13.833333333333334
0,0.0,1995,0.0
12000000,27400000.0,1995,2.283333333333333
0,0.0,1995,0.0
18000000,1738611.0,1995,0.0965895
0,0.0,1995,0.0
0,180000000.0,1995,0.0
29500000,168840000.0,1995,5.7233898305084745
0,0.0,1996,0.0
30000000,254134910.0,1995,8.471163666666667
0,0.0,1995,0.0
11000000,39363635.0,1995,3.5785122727272727
0,0.0,1995,0.0
0,0.0,1995,0.0
12000000,0.0,1995,0.0
0,676525.0,1995,0.0
0,0.0,1995,0.0
10000000,0.0,1995,0.0
19000000,0.0,1995,0.0
18000000,122195920.0,1995,6.788662222222222
20000000,21284514.0,1995,1.0642257
10000000,23574130.0,1995,2.357413
33000000,327311859.0,1995,9.918541181818181
55000000,346079773.0,1995,6.292359509090909
0,0.0,1995,0.0
6000000,23341568.0,1995,3.890261333333333
0,0.0,1994,0.0
15000000,6700000.0,1995,0.44666666666666666
0,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1997,0.0
0,17519169.0,1995,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
45000000,0.0,1995,0.0
20000000,0.0,1996,0.0
0,106269971.0,1995,0.0
0,0.0,1996,0.0
0,0.0,1996,0.0
15000000,0.0,1996,0.0
0,2409225.0,1996,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
3500000,28215918.0,1995,8.061690857142857
19000000,25836616.0,1996,1.3598218947368421
50000000,11534477.0,1995,0.23068954
0,718490.0,1995,0.0
0,0.0,1995,0.0
0,19030691.0,1996,0.0
15000000,2042530.0,1996,0.13616866666666666
20000000,5781885.0,1995,0.28909425
0,0.0,1995,0.0
0,0.0,1995,0.0
44000000,0.0,1996,0.0
0,0.0,1995,0.0
8000000,529766.0,1995,0.06622075
900000,0.0,1995,0.0
0,0.0,1996,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
38000000,10300000.0,1996,0.2710526315789474
16000000,0.0,1996,0.0
0,32.0,1996,0.0
8169363,8175346.0,1995,1.000732370443081
0,0.0,1995,0.0
47000000,12379402.0,1996,0.2633915319148936
14000000,19800000.0,1995,1.4142857142857144
0,0.0,1996,0.0
50000000,150270147.0,1996,3.00540294
0,0.0,1995,0.0
3000000,0.0,1995,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1996,0.0
7000000,560069.0,1996,0.08000985714285715
0,0.0,1996,0.0
18000000,0.0,1996,0.0
12000000,41205099.0,1996,3.43375825
24000000,182016617.0,1995,7.584025708333333
0,0.0,1994,0.0
0,34327391.0,1996,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
72000000,210000000.0,1995,2.9166666666666665
1300000,28262574.0,1976,21.74044153846154
7500000,32392047.0,1995,4.3189396
35000000,0.0,1996,0.0
0,0.0,1995,0.0
13365000,0.0,1995,0.0
0,1.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1996,0.0
25000000,6278139.0,1995,0.25112556
0,0.0,1996,0.0
0,0.0,1992,0.0
40000000,70100000.0,1992,1.7525
0,0.0,1994,0.0
0,0.0,1995,0.0
7000000,14702438.0,1996,2.100348285714286
17000000,0.0,1994,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1996,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
50000000,9851610.0,1995,0.1970322
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1996,0.0
0,0.0,1995,0.0
0,209935.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
60000000,0.0,1996,0.0
31000000,185260553.0,1996,5.976146870967742
0,0.0,1995,0.0
0,0.0,1995,0.0
19000000,141407024.0,1995,7.442474947368421
0,0.0,1995,0.0
0,0.0,1995,0.0
4000000,851545.0,1995,0.21288625
0,0.0,1994,0.0
52000000,355237933.0,1995,6.831498711538462
28000000,31596911.0,1995,1.1284611071428572
0,0.0,1995,0.0
100000000,336529144.0,1995,3.36529144
0,0.0,1967,0.0
0,0.0,1995,0.0
2000000,1275000.0,1995,0.6375
11000000,178104.0,1995,0.016191272727272728
50000000,287928194.0,1995,5.75856388
25000000,13071518.0,1995,0.52286072
50000000,152022101.0,1995,3.04044202
53000000,157387195.0,1995,2.969569716981132
0,3174695.0,1994,0.0
7000000,25405445.0,1995,3.6293492857142855
27000000,16140822.0,1995,0.5978082222222222
90000000,366101666.0,1995,4.067796288888889
0,0.0,1995,0.0
0,0.0,1995,0.0
55000000,127600435.0,1995,2.320007909090909
0,0.0,1995,0.0
20000000,7563728.0,1995,0.3781864
0,0.0,1995,0.0
25000000,19075720.0,1995,0.7630288
90000000,113493481.0,1995,1.2610386777777778
0,17014653.0,1995,0.0
1500000,7412216.0,1995,4.941477333333333
500000,1148752.0,1995,2.297504
0,0.0,1995,0.0
0,0.0,1993,0.0
0,15453274.0,1995,0.0
6000000,2122561.0,1995,0.35376016666666665
15000000,66000000.0,1995,4.4
0,0.0,1995,0.0
2,1.0,1995,0.5
0,0.0,1994,0.0
22000000,110627965.0,1995,5.028543863636363
0,69660733.0,1995,0.0
150000,472370.0,1995,3.1491333333333333
8,16.0,1995,2.0
0,0.0,1995,0.0
0,0.0,1995,0.0
50000000,10382407.0,1995,0.20764814
0,0.0,1995,0.0
45000000,20350754.0,1995,0.4522389777777778
7000000,8349430.0,1995,1.1927757142857143
0,50892160.0,1995,0.0
35000000,113374103.0,1995,3.2392600857142857
0,0.0,1995,0.0
42000000,7959291.0,1995,0.18950692857142856
0,0.0,1964,0.0
14000000,5780000.0,1995,0.41285714285714287
0,7025496.0,1995,0.0
0,339889.0,1995,0.0
0,47774193.0,1995,0.0
60000000,104324083.0,1995,1.7387347166666667
0,0.0,1995,0.0
0,0.0,1995,0.0
20000000,50012507.0,1995,2.50062535
175000000,264218220.0,1995,1.5098184
8000000,0.0,1995,0.0
30000000,0.0,1995,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
2800000,2616503.0,1994,0.9344653571428572
0,763847.0,1994,0.0
2500000,5535405.0,1995,2.214162
10000000,26488734.0,1995,2.6488734
0,0.0,1995,0.0
21000000,23450000.0,1995,1.1166666666666667
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
27000,3151130.0,1994,116.70851851851852
25000000,22200000.0,1994,0.888
55000000,214015089.0,1994,3.891183436363636
0,0.0,1995,0.0
45000000,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
16000000,247275374.0,1994,15.454710875
0,7294403.0,1994,0.0
0,0.0,1994,0.0
0,6841570.0,1994,0.0
18000000,5887457.0,1994,0.32708094444444447
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,35348597.0,1995,0.0
15000000,12201255.0,1995,0.813417
0,0.0,1995,0.0
0,0.0,1994,0.0
0,3992809.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1994,0.0
700000,7830611.0,1994,11.186587142857142
5000000,3049135.0,1994,0.609827
10500000,26325256.0,1995,2.507167238095238
120,0.0,1994,0.0
0,17689177.0,1995,0.0
0,0.0,1995,0.0
25000000,0.0,1994,0.0
60000000,223664608.0,1994,3.7277434666666664
14000000,2474000.0,1995,0.1767142857142857
0,0.0,1995,0.0
60000000,37000000.0,1994,0.6166666666666667
0,0.0,1995,0.0
0,0.0,1995,0.0
40000000,0.0,1995,0.0
11000000,775398007.0,1977,70.49072790909091
18000000,0.0,1994,0.0
17000000,0.0,1995,0.0
0,0.0,1994,0.0
10000000,0.0,1994,0.0
2000000,21665468.0,1992,10.832734
30000000,160638883.0,1994,5.354629433333334
0,0.0,1995,0.0
0,0.0,1994,0.0
0,0.0,1994,0.0
60000000,0.0,1994,0.0
17000000,7603766.0,1995,0.44728035294117646
0,0.0,1994,0.0
45000000,112006296.0,1994,2.4890288
0,0.0,1995,0.0
15000000,0.0,1994,0.0
0,18137661.0,1994,0.0
0,46264384.0,1994,0.0
6,5.0,1995,0.8333333333333334
5500000,0.0,1995,0.0
0,17381942.0,1995,0.0
0,0.0,1994,0.0
31000000,106683817.0,1994,3.4414134516129034
0,0.0,1995,0.0
0,0.0,1993,0.0
4800000,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
34000000,50282766.0,1994,1.4789048823529412
0,0.0,1994,0.0
0,2201126.0,1994,0.0
0,0.0,1996,0.0
50000000,189859560.0,1995,3.7971912
16000000,45284974.0,1994,2.830310875
11000000,2832826.0,1995,0.25752963636363635
0,0.0,1995,0.0
8000000,213928762.0,1994,26.74109525
0,6834525.0,1995,0.0
400000,152322.0,1992,0.380805
0,4176932.0,1994,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1994,0.0
32000000,18552460.0,1995,0.579764375
22000000,12400000.0,1995,0.5636363636363636
15000000,11300653.0,1994,0.7533768666666667
0,0.0,1994,0.0
0,0.0,1993,0.0
0,0.0,1994,0.0
0,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
35000000,9771658.0,1994,0.27919022857142856
0,0.0,1994,0.0
45000000,170362582.0,1994,3.7858351555555556
55000000,196567262.0,1994,3.5739502181818184
22000000,189833357.0,1994,8.628788954545454
25000000,28341469.0,1994,1.13365876
0,0.0,1994,0.0
0,102780.0,1993,0.0
0,0.0,1993,0.0
0,0.0,1994,0.0
32,0.0,1994,0.0
0,0.0,1995,0.0
0,0.0,1994,0.0
25000000,4064495.0,1995,0.1625798
0,0.0,1995,0.0
38000000,120000000.0,1994,3.1578947368421053
6000000,12000000.0,1995,2.0
0,0.0,1994,0.0
0,0.0,1995,0.0
0,32648673.0,1995,0.0
0,0.0,1994,0.0
6500000,0.0,1995,0.0
0,0.0,1995,0.0
11000000,10032765.0,1993,0.9120695454545454
30000000,24048000.0,1995,0.8016
17000000,182057016.0,1995,10.709236235294117
0,0.0,1994,0.0
0,759393.0,1994,0.0
3000000,15119639.0,1994,5.039879666666667
0,0.0,1995,0.0
15000000,107217396.0,1994,7.1478264
0,11220670.0,1994,0.0
0,0.0,1994,0.0
5000000,1862805.0,1992,0.372561
0,0.0,1994,0.0
62000000,215887717.0,1994,3.482059951612903
45000000,117615211.0,1994,2.6136713555555557
0,0.0,1994,0.0
0,0.0,1994,0.0
15000000,94000000.0,1994,6.266666666666667
0,1007583.0,1994,0.0
46000000,341631208.0,1994,7.426765391304348
55000000,677945399.0,1994,12.326279981818182
6000000,254700832.0,1994,42.45013866666667
0,38290723.0,1995,0.0
0,1777020.0,1994,0.0
45000000,61947267.0,1994,1.3766059333333334
0,0.0,1994,0.0
0,0.0,1994,0.0
0,449707.0,1993,0.0
45000000,788241776.0,1994,17.516483911111113
35000000,4858139.0,1993,0.13880397142857143
14000000,18090181.0,1994,1.2921557857142858
23000000,351583407.0,1994,15.286235086956522
0,0.0,1994,0.0
0,0.0,1994,0.0
30000000,51132598.0,1994,1.7044199333333334
6000000,0.0,1994,0.0
11500000,20079850.0,1994,1.7460739130434784
8000000,2000000.0,1993,0.25
40000000,0.0,1994,0.0
0,0.0,1994,0.0
45000000,0.0,1994,0.0
30000000,350448145.0,1994,11.681604833333333
0,0.0,1994,0.0
27000000,101646581.0,1994,3.764688185185185
115000000,378882411.0,1994,3.2946296608695653
0,50021959.0,1994,0.0
0,0.0,1994,0.0
63000000,25052000.0,1994,0.39765079365079364
0,0.0,1995,0.0
0,953.0,1994,0.0
0,0.0,1994,0.0
10000000,29392418.0,1994,2.9392418
0,0.0,1994,0.0
0,0.0,1994,0.0
45000,0.0,1965,0.0
7000000,20851521.0,1994,2.9787887142857143
0,0.0,1993,0.0
35000000,99423521.0,1994,2.8406720285714284
0,0.0,1995,0.0
0,0.0,1997,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
0,0.0,1996,0.0
0,0.0,1995,0.0
0,0.0,1995,0.0
26000000,36800000.0,1994,1.4153846153846155
0,0.0,1995,0.0
8000000,8946600.0,1994,1.118325
0,0.0,1994,0.0
0,0.0,1994,0.0
0,48919043.0,1993,0.0
0,0.0,1994,0.0
34000000,32255440.0,1993,0.9486894117647059
0,0.0,1994,0.0
17080000,21011500.0,1994,1.2301814988290398
0,0.0,1993,0.0
0,15240435.0,1994,0.0
3200000,0.0,1994,0.0
40000000,0.0,1994,0.0
0,0.0,1993,0.0
50000000,119208989.0,1994,2.38417978
0,0.0,1994,0.0
0,16668552.0,1994,0.0
0,30156002.0,1994,0.0
0,0.0,1994,0.0
0,0.0,1994,0.0
13000000,428868.0,1993,0.032989846153846154
0,1796389.0,1993,0.0
22000000,17287898.0,1993,0.7858135454545454
0,3662459.0,1994,0.0
13000000,2570145.0,1993,0.19770346153846155
30000000,36516012.0,1993,1.2172004
0,0.0,1994,0.0
0,7355425.0,1994,0.0
70000000,255000211.0,1993,3.642860157142857
0,0.0,1993,0.0
40000000,19726050.0,1994,0.49315125
0,0.0,1994,0.0
0,0.0,1994,0.0
0,0.0,1993,0.0
0,63000000.0,1993,0.0
